home team,h(g),a(g),away team
8,0,3,13
14,0,2,16
5,1,2,18
11,2,1,1
9,0,1,17
2,3,1,3
4,1,1,20
6,2,1,10
19,1,1,7
15,3,0,12
13,6,0,2
10,0,0,14
7,3,0,8
20,1,0,5
12,1,2,11
1,1,0,6
3,1,1,9
18,1,1,4
16,0,0,19
17,2,1,15
1,1,2,10
5,0,2,3
2,3,0,7
4,1,0,16
8,2,2,12
19,0,2,17
15,4,0,20
9,1,0,13
6,3,0,18
11,1,2,14
7,0,2,15
13,1,1,3
2,2,0,5
20,2,0,1
10,1,0,9
12,3,0,4
16,2,0,6
17,1,2,11
19,2,2,8
14,1,0,18
6,2,1,2
1,2,2,13
15,1,0,19
5,0,0,12
9,2,1,11
4,0,0,17
3,2,0,7
10,1,0,16
18,2,2,20
8,3,4,14
19,2,1,10
14,1,1,9
16,0,0,8
7,1,2,1
3,2,2,4
12,1,0,20
11,2,1,5
17,1,1,6
2,4,1,18
13,0,1,15
5,0,0,14
8,3,1,11
4,2,2,13
10,1,0,17
18,0,1,7
9,1,0,12
20,0,2,2
6,2,0,19
1,1,3,3
15,0,2,16
13,0,1,10
3,0,1,15
11,1,1,6
2,1,1,1
8,4,1,4
7,2,2,20
16,1,2,5
19,1,0,9
12,0,1,18
14,1,1,17
1,3,1,14
15,4,0,2
5,1,0,19
9,3,1,8
20,1,3,3
4,2,0,7
10,1,0,11
6,2,2,12
17,0,1,16
18,1,0,13
11,1,4,15
13,0,0,5
16,1,0,9
2,0,1,4
7,1,0,10
20,2,1,6
12,1,1,1
3,0,1,18
8,3,2,17
14,2,0,19
10,0,1,8
6,3,0,3
19,1,0,11
4,2,0,5
13,2,0,7
16,0,0,12
9,0,0,2
17,3,2,20
18,2,2,1
15,4,0,14
5,2,1,15
14,2,1,6
7,2,2,9
20,2,3,13
2,1,0,19
1,1,0,4
3,2,0,10
11,2,0,16
18,1,0,8
12,0,1,17
11,1,1,3
4,1,2,15
8,1,0,5
6,0,0,7
16,0,0,2
19,4,1,12
17,3,1,1
9,3,0,20
10,2,3,18
14,2,1,13
15,2,0,6
13,2,1,11
4,1,1,10
7,1,1,16
1,0,4,19
2,1,0,12
5,2,1,17
3,2,1,8
18,0,0,9
20,0,2,14
14,2,1,4
19,1,2,13
16,1,1,3
12,1,1,7
9,4,2,1
6,1,0,5
11,3,1,2
10,2,1,20
17,2,1,18
8,1,4,15
3,6,0,12
2,0,2,14
4,5,0,19
13,0,1,6
18,4,1,11
5,2,2,9
20,1,2,8
7,0,1,17
15,2,0,10
1,1,1,16
6,1,0,4
12,0,4,13
9,1,3,15
11,4,1,7
17,2,1,2
19,4,2,20
8,3,0,1
16,3,1,18
10,1,0,5
14,3,1,3
6,2,1,9
7,1,1,14
12,0,1,10
2,0,0,8
20,0,1,16
1,1,1,5
4,0,0,11
3,0,1,19
13,0,1,17
18,0,4,15
9,4,0,4
5,2,2,7
17,1,0,3
19,2,1,18
8,5,1,6
16,1,1,13
10,1,2,2
11,3,0,20
15,4,1,1
14,3,1,12
17,0,1,14
3,1,2,13
20,2,5,4
1,1,2,9
2,1,1,11
12,2,0,16
7,1,0,19
18,0,2,10
5,1,0,6
15,3,3,8
11,1,1,17
14,0,0,2
4,2,1,1
8,1,3,19
9,2,1,5
16,0,1,7
18,2,1,12
13,3,0,20
10,0,1,3
6,0,2,15
17,3,2,10
15,5,0,9
5,3,0,4
12,3,1,8
2,1,4,16
19,1,2,6
1,0,0,20
11,2,1,13
7,3,1,18
3,0,0,14
6,1,0,17
8,1,0,2
10,1,2,15
20,0,1,19
16,1,1,11
12,2,0,5
9,1,1,7
13,0,0,1
4,1,1,3
18,0,2,14
2,0,2,6
14,1,0,20
17,0,0,4
5,3,3,10
1,1,2,8
11,1,3,12
7,1,2,3
9,1,0,18
19,3,0,16
15,4,2,13
8,1,0,9
1,4,4,15
3,2,2,5
10,0,0,7
20,0,2,11
12,1,0,2
13,1,1,19
4,3,2,18
16,1,0,17
6,1,2,14
11,2,2,4
7,0,2,13
14,1,3,10
6,3,0,20
5,1,1,8
19,0,0,1
2,1,0,9
18,1,1,16
17,2,1,12
15,4,3,3
12,2,3,14
15,4,0,5
1,0,1,7
4,0,1,2
20,0,2,17
8,1,1,16
9,3,0,19
10,0,1,6
3,1,1,11
13,2,0,18
14,2,2,1
11,2,1,8
5,2,1,20
2,2,0,10
7,2,1,12
16,1,0,4
18,1,1,3
17,5,0,9
6,1,0,13
